"Avec les ptits futés !","Découvres les fruits et légumes en t'amusant !","","",""
"Quel fruit jaune, a une peau épaisse parfois tachetée ?","La banane","L'orange","La framboises","La banane est riche en potassium, ce qui est bon pour le cœur."
"Quel légume vert, se mange souvent en salade ?","La laitue","Le radis","Le concombre","La laitue est majoritairement composée d'eau, ce qui la rend rafraîchissante."
"Quel fruit rouge, possède des graines sur sa peau, appelé akènes ?","La fraises","La prune","La framboises","La fraises est pleine de vitamine C, qui aide à protéger le corps."
"Quel légume violet, est sucré quand il est cuit ?","L'aubergine","Le concombre","Le pamplemousse","L'aubergine, bien que souvent considérée comme un légume, est botaniquement une baie."
"Quel fruit, est souvent confondu avec un légume, et, est utilisé dans la sauce à pizza ?","La tomate","La fraises","La pomme","La tomate est techniquement un fruit et est très utilisée dans les cuisines du monde entier."
"Quel légume long, et vert, est souvent mangé cru ?","Le concombre","L'aubergine","La courgette","Le concombre est composé de 95% d'eau, ce qui en fait un aliment hydratant."
"Quel fruit est petit, rond, de couleur violet, ou vert ?","Le raisin","Le citron","La poire","Le raisin est souvent utilisé pour faire du vin."
"Quel fruit croquant, peut être rouge, jaune, ou vert ?","La pomme","La banane","La mangue","La pomme est consommée partout dans le monde et peut être utilisée dans diverses recettes."
"Quel fruit rond, et rouge, est souvent mis dans les salades ?","La tomate","Le radis","L'aubergine","La tomate est un fruit, et est pleine de vitamine C."
"Quel fruit tropical, est jaune et courbes ?","La banane","L'orange","La mangue","La banane est l'un des fruits les plus consommés mondialement et est bonne pour l'énergie."
"Quel légume est long, orange, et pousse dans la terre ?","La carotte","La pomme de terre","L'orange","La carotte est riche en vitamine A, qui aide à améliorer la vision."
"Quel gros fruit, est vert à l'extérieur, et rouge à l'intérieur ?","La pastèque","Le citron","Le pamplemousse","La pastèque est très hydratante car elle contient beaucoup d'eau."
"Quel légume vert, ressemble à un mini arbre ?","Le brocoli","La courgette","La citrouilles","Le brocoli est un super aliment, très bon pour la santé avec ses riches nutriments."
"Quel fruit est rond, orange, et a une peau épaisse ?","L'orange","Le citron","La pomme","L'orange est célèbre pour son jus vitaminé, consommé au petit déjeuner dans de nombreux pays."
"Quel légume est un bulbes blanc, avec de longues tiges vertes ?","Le poireau","La tomate","Le radis","Le poireau est souvent utilisé dans les soupes et les ragoûts, surtout en France."
"Laquelle de ces céréales, pousse dans l'eau ?","Le riz","Le blé","Le maïs","Le riz pousse dans des rizières qui sont des champs inondés d'environ vingt cinq centimètres d'eau."
"Quel fruit est petit, bleu, et souvent utilisé dans les tartes ?","La myrtille","Le raisin","La fraises","La myrtille est riche en antioxydants et très apprécié en confiture ou en dessert."
"Quel agrûme est jaune à l'extérieur, roses à l'intérieur, et peut être dégusté en jus, en salade, ou avec du sucre ?","Le pamplemousse","Le citron","La pêches","Le pamplemousse est apprécié pour son goût unique qui balance entre douceur et amertume."
"Quel légume vert, et rond, se mange cuit, en potée par exemple ?","Le chou","La tomate","La pastèque","Le chou est très versatile en cuisine et peut être fermenté pour faire de la choucroute."
"Quel fruit, a une coque marron, très dure, et une chair blanche à l'intérieur ?","La noix de coco","Le raisin","La pêches","La noix de coco est utilisée dans de nombreux plats exotiques et pour son huile en cuisine."
"Quel fruit violet, est en réalité une fleur inversée ?","La figue","La prune","La mûre","Les figues ne sont pas des fruits mais des fleurs inversées. Les figuiers ne fleurissent pas comme les pommiers ou les poiriers."
"Quel légume rouge, est utilisé pour faire du ketcheup ?","La tomate","Le radis","Le poivron","La tomate est très polyvalente en cuisine, notamment pour les sauces."
"Quel fruit tropical jaune, et rond, possède une couronne de feuilles ?","L'ananass","Le citron","La mangue","L'ananass est juteux et sucré, connu pour sa couronne distinctive."
"Quel légume peut être mangé jaune, rouge, ou vert ?","Le poivron","La tomate","Le concombre","Le poivron est coloré et doux, excellent en salade ou cuit."
"Quel fruit est souvent associé aux singes ?","La banane","La pomme","L'orange","La banane est facile à peler et très appréciée par les singes."
"Quel légume est blanc à l'intérieur, avec des feuilles vertes à l'extérieur ?","Le chou-fleur","Le brocoli","Le concombre","Le chou-fleur est riche en vitamines et peut être préparé de nombreuses façons."
"Dans un célèbre conte, quel légume magique, plantes Jack, pour accéder au château d'un ogre ?","Des haricots","Des petits pois","Des maïs","Jack plantes des haricots magiques qui grandissent jusqu'au nuages où vie un ogre dans un château."
"Quelle céréale, est contenu dans un épis, au sommet d'une tige appelée paille ?","Le blé","Le maïs","Le riz","L'épi de blé est composé de plusieurs graines. Il est situé au sommet d'une tige appelée paille."
"Quel fruit tropical, au dégradé orange et rouge, possède une chair jaune foncée ?","La mangue","Le kiwis","L'ananass","La mangue est très sucrée et utilisée dans de nombreuses cuisines tropicales."
"Quelle baie est noire quand elle est mûre ?","La mûre","La framboises","La groseille","La mûre est douce et souvent utilisée dans les tartes et confitures."
"Quel légume rouge et blanc, a une texture croquante, et possède une saveur piquante ?","Le radis","Le poireau","L'ail","Le radis ajoute une touche piquante et colorée aux salades."
"Quel légume pique les yeux quand on le coupe ?","L'oignon","L'ail","Le radis","L'oignon libère un gaz qui peut faire pleurer lorsqu'on le coupe."
"Quel agrûme très acide, peut être jaune, ou vert ?","Le citron","Le kiwis","Le pamplemousse","Le citron est riche en vitamine C et est souvent utilisé pour ajouter une saveur acide aux plats."
"Quel fruit à la peau velue marron, contient une chair verte, et des petites graines noires ?","Le kiwis","L'ananass","La noix de coco","Le kiwi est riche en vitamine C et ses petites graines noires sont comestibles."
"Quel légume, est connu pour sa couleur violet intense ?","Le chou rouge","Le concombre","Le chou-fleur","Le chou rouge change de couleur en fonction du sol dans lequel il pousse."
"Quel fruit, tire son nom de, nana, nana, qui signifie le parfum des parfums, dans la langue de son pays d'origine ?","L'ananass","La mangue","Le fruit de la passion","Le nom de l'ananass vient du tupi-guarani, nana, nana, qui signifie, le parfum des parfums."
"Quel légume vert, est long, mince, et a une peau lisse ?","La courgette","Le chou","L'aubergine","La courgette est versatile en cuisine, excellente grillée ou en soupe."
"Quel fruit a une peau veloutée ?","La pêches","Le citron","Le kiwis","La pêche est appréciée pour sa chair juteuse et sa peau douce."
"Quel fruit est souvent séché, pour être mangé comme snack ?","Le raisin","La mangue","L'orange","Le raisin sec est du raisin déshydraté, très utilisé dans les apéritifs."
"Quel fruit est grand, rond, orange à l'intérieur, et vert à l'extérieur ?","Le melon","La pêches","Le raisin","Le melon d'eau est très hydratant, contenant environ 92% d'eau."
"Quel fruit est pressé pour faire du vin ?","Le raisin","La pêches","La prune","Le vin est du jus de raisin fermenté."
"Quel légume, pousse en tiges vertes, ou blanches, dans la terre, ou dans le sable ?","Les asperges","Les carottes","Les pommes de terre","Les asperges sont appréciées pour leur texture croquante et leur goût distinct."
"Quel fruit est petit, rond, rouge, et pousse sur un arbre ?","La cerise","La framboises","La fraises","La cerise est populaire pour son goût sucré et sa petite taille."
"Quel légume, est réputé pour son odeur forte, et son goût piquant ?","L'ail","Le navet","Le radis","L'ail est souvent utilisé en cuisine pour son goût puissant qui rehausse les plats."
"Quel fruit, est riche en fer, et agrémente le far breton ?","Le pruneau","La cerise","La pêches","Le pruneau, un type de prune séchée, est riche en fer."
"Quel légume, peut être violet, blanc, ou vert ?","Le chou-fleur","La courgette","Le poireau","Le chou-fleur vient dans diverses couleurs, chaque variété ayant un goût légèrement différent."
"Quel légume, est l'ingrédient principal du guacamole ?","L'avocat","La tomate","Le cornichon","Bien que techniquement un fruit, l'avocat est crucial dans le guacamole pour sa texture crémeuse."
"Quel légume jaune, pousse sur des épis ?","Le maïs","L'ail","La pomme de terre","Le maïs est particulièrement sucré et délicieux lorsqu'il est grillé."
"Quel légume vert et croquant, est aussi appelé aches des marais ?","Le céleri","Le cornichon","Le concombre","Le céleri aussi appelé aches des marais est apprécié pour sa texture croquante et son goût rafraîchissant."
"Quel fruit, a une chair fibreuse, qui peut être tirée en filaments ?","L'ananass","Le citron","La mangue","L'ananass a une chair fibreuse unique qui peut être facilement tirée en filaments."
"Quel légume est un bulbes, qui pousse sous terre, et a des feuilles vertes ?","L'oignon","Le céleri","Le brocoli","L'oignon est cultivé sous terre mais ses feuilles vertes émergent au-dessus du sol."
"Quel fruit rouge constitué de drupéoles, pousse sur un arbuste ?","La framboises","La fraises","La myrtille","La framboises est un fruit rouge délicat qui pousse sur un arbuste. Elle est généralement constituée de quarante à quatre-vingts drupéoles finement veloutées."
"Quelle courge orange, et ronde, est utilisée pour faire des lanternes à Halloween ?","La citrouilles","La carotte","La courgette","La citrouille est un cucurbitacé dégusté en soupe, il est également le symbole d'Halloween."
"Quel légume typique de Bretagne, a une forme de fleur ?","L'artichaut","L'aubergine","Le poivron","L'artichaut a des feuilles que l'on peut tremper dans une sauce et manger."
"Avec quel légume fait-on les frites ?","La pomme de terre","La pomme","Le céleri","La pomme de terre est également utilisée pour faire du purée."
"Quelle graines, sont utilisé pour créer le chocolat ?","Le cacao","Le blé","Le café","Les fèves de cacao sont utilisées pour créer le chocolat."
"Quel légume rond, violet, et blanc, pousse dans la terre ?","Le navet","Le poivron","La blette","Le navet est un légume racine appelé aussi raves. Il est doux quand il est cuit."
"Avec quelles petites baies rouges, cuillient en grappe, fait-on de la confiture ou de la gelée ?","Les groseilles","La framboises","La fraises","Les groseilles sont très appréciées en confiture."
"Quelle plantes aux tiges roses, ou rouges, possède un goût acidulé ?","La rhubarbe","Le céleri","Le poivron","La rhubarbe est souvent utilisée en dessert avec du sucre."
"Quel fruit sec peut être cassé, pour manger les cernaux qui se trouve à l'intérieur ?","La noix","La noisette","Le raisin","La noix est souvent récoltée à l'automne. Elle est bonne pour le cerveau avec ses oméga-3."
"Quel petit fruit rond et marron, à la coque dure, se cueille en trochets ?","La noisette","La noix","L'amande","Sur le noisetier, les noisettes sont regroupées en grappes appelées trochets."
"Quel légume rouge intense, est souvent mangé en salade ?","La betterave","La pomme de terre","Le poireau","La betterave peut colorer les aliments d'un rouge vif."
"Comment appelle-t-on, les petites boules vertes, que l'on mange en légume ?","Les petits pois","Les billes","Les perles","Les petits pois sont souvent vendus en conserve ou surgelés, mais ils sont encore meilleurs frais !"
"Quel petit légume vert, et allongé, accompagne les viandes, ou se mange froid en salade ?","Les haricots","Les spaghettis","Les concombres","Les haricots peuvent être verts, jaunes ou même violets."
"Quel fruit maron, trouve ton dans une bogue épineuses ?","La châtaigne","La noix","Le kiwis","Les châtaignes sont regroupées en bogues sur le châtaignier. La bogue est une enveloppe hérissée de piquants. Attention les doigts en les ramassant !"
"Quel fruit noir, ou vert, est utilisé pour faire de l'huile, ou être mangé en salade ?","Les olives","Les cerises","Les raisins","Les olives sont cueillies et pressées pour en extraire l'huile."
"Qu'est ce qui n'est ni fruit, ni légume, qui pousse dans la terre, et qu'on mange souvent dans les pizzas ?","Les champignons","Les pommes de terre","La mozzarella","Les champignons peuvent être cultivés ou cueillis dans la nature."
"Quels fruits, sont utilisés par les patissiers, pour créer le pralin ?","La noisette et l'amande","La noix et la châtaigne","La noix de coco et la fève de cacao","Le pralin est une préparation gastronomique à base d'amandes et de noisettes caramélisées et concassées en menus morceaux."
"Quel fruit, est petit, rond, orangé, et a une peau velouté très douce ?","L'abricot","L'orange","La pêches","L'abricot vient des arbres et aime les climats chauds."
"Quelle plantes, aux larges feuilles vertes foncées, mange-t-on ?","Les épinards","les lentilles","Le concombre","Les épinards sont riches en fer."
"Quel légume vert, est connu pour ses grains alignés dans une gousse ?","Les petits pois","Les haricots","Les lentilles","Les petits pois sont tendres et sucrés lorsqu'ils sont frais."
"Quel petit légume vert, ressemble à un mini chou ?","Le chou de Bruxelles","Le chou-fleur","Le brocoli","Les choux de Bruxelles poussent en grappes le long d'une longue tige."
"Dans un célèbre conte, quel fruit empoisonné offre la sorcière à blanche neige ?","Une pomme","Un poire","Une pêche","Blanche neige s'endort en croquant une pomme empoisonnée offerte par une sorcière."
"Quel fruit rond, a une peau violette, et est plein de graines oranges et noires ?","Le fruit de la passion","La prune","Le kiwis","Le fruit de la passion a un goût sucré et tropical."
"Quel fruit marron, se ramasse en automne, et peut être grillé sur le feu ?","La châtaigne","La noix","L'amande","Les châtaignes sont souvent associées aux fêtes de fin d'année."
"Quel fruit sec, brun, et sucré, pousse en grappe sur un palmier ?","La datte","Le raisin","La figue","Les dattes sont les fruits du palmier dattier."
"Quel légume, a des feuilles que l'on mange, et un cœur tendre que l'on prépare en salade ?","L'artichaut","Le poireau","Le navet","L'artichaut est un bouton de fleur qui n'a pas encore éclos."
"Quel fruit sec, est une prune déshydratée ?","Le pruneau","Le raisin sec","L'abricot sec","Les pruneaux sont connus pour aider la digestion."
"Quelle légume, est utilisée pour faire du pop-corn ?","Le maïs","Le blé","Le riz","Le maïs est la céréale la plus produite au monde."
"Lequel de ces légumes n'est pas une salade ?","Le persil","La frisée","La laitue","Contrairement à la laitue et la frisée qui sont des salades vertes. Le persil est une plantes aromatique pour assaisonner les plats."
"Quel agrûme, est un croisement entre la mandarine, et l'orange ?","La clémentine","Le citron","Le pamplemousse","La clémentine est un agrûme issu du croisement entre la mandarine et l'orange."
"Quel légume, est utilisé pour chasser les vampires dans les histoires ?","L'ail","L'oignon","Le poireau","Dans les contes, les héros utilisent de l'ail pour repousser les vampires."
"Quel légume racine, est utilisé pour créer le sucre ?","La betterave","La carotte","Le navet","Pour la production de sucre, la betterave est donc récoltée dès la première année, lorsque les réserves de sucre dans la racine sont maximales."
"Quel fruit, Isaac Newton, reçu sur sa tête, et lui inspira la loi de la gravitation ?","La pomme","L'orange","L'abricot","La légende dit qu'il a compris le principe de la gravitation lorsqu'assis sous un pommier, il reçu une pomme sur la tête."
"Quelle céréale, est utilisée pour faire le pain ?","Le blé","Le maïs","L'orge","En France, la grande majorité des pains est réalisée avec de la farine de blé."
"Quel fruit, est pressé pour faire du cidre ?","La pomme","Le raisin","La poire","Le cidre est du jus de pomme fermenté."
"Quel fruit, est utilisé pour créer le chocolat ?","La cabosse","La cerise","La mangue","La cabosse est le fruit du cacaoyer. Elle renferme des fèves de cacao qui sont utilisées pour créer le chocolat."
"Comment s'appelle le fruit du caféier, qui contient la graines de café ?","La cerise","La pêches","La cabosse","Le caféier est un arbuste originaire d'Ethiopie produisant la cerise de café, aussi appelée drupe."
"Pink lady, gala, et golden, sont des variétés de quel fruit ?","La pomme","La poire","La pêches","Aujourd'hui, il existerait plus de 20 000 variétés de pommes. Pink lady, gala et golden en font partie."
"Quel fruit, colore la langue en bleu quand on le mange ?","La myrtille","La datte","La groseille","La myrtille suinte de pigments naturels bleus. Si tu en manges, tires ta langue bleu à tes amis pour rigoler !"
"Où pousse les cacahouètes ?","Dans la terre, sur les racines d'une plantes","Sur les branches d'un arbuste","Dans l'eau de la mer","Les cacahouètes sont contenues dans des gousses poussant sur les racines de l'arachide, une plantes herbacée."
"Lequel de ces fruits n'est pas comestible ?","Le marron","La châtaigne","La noix","Les marrons sont toxiques et peuvent entraîner des troubles digestifs importants."
"Quel fruit, a son noyaux remplit d'eau ?","La noix de coco","La pêches","L'avocat","La noix de coco contient un grand noyau creux qui est rempli d'un liquide : l'eau de coco."
"Quel fruit tropical, pousse seul au sommet d'une plantes ?","L'ananass","La mangue","La cabosse","L'ananass se trouve au sommet de la tige centrale de sa plantes. En réalité l'ananass est une multitude de fruits qui ont fusionné."
"Dans un célèbre conte, sur quel légume, une princesse n'arrive t'elle pas à dormir ?","Un petit pois","Un cornichon","Un haricot","Dans le conte de la princesse au petit pois, la princesse ne peut pas dormir à cause d'un petit pois situé sous les 20 matelas de son lit."
"Quelle fruit, est utilisé pour faire des tartes tatin ?","La pomme","L'orange","L'abricot","La tarte tatin est une tarte au pommes caramélisées."